id,label
02gcLnKHxG0JdrS,CAMEMBERT
02sgXP1u4h0X6z1,SCARMOZA
05VXZZk8UCFduSu,NEUFCHATEL
05esO3iIWBk0XfY,CHABICHOU
067xaE3ZL4N2eJG,SCARMOZA
089RVbd6d2wInlm,SCARMOZA
08cUl4rf2R7L9ZE,CHABICHOU
08ew9F5fvNQQrsO,TÊTE DE MOINES
08l2ccuDnlf4kr5,BÛCHETTE DE CHÈVRE
08w2wP3I4wPPowe,TÊTE DE MOINES
09RGQFG1wbZ8T7G,STILTON
09cG8QtzHlGVkZf,EMMENTAL
09hSqwxRIdV2K7O,TÊTE DE MOINES
09vLJAIpO9DKMeA,SAINT-NECTAIRE
0AAAVlAVWArvgX9,MOZZARELLA
0AZMAnAz4qFeevZ,CAMEMBERT
0AlT2RwIucQvyXr,MOZZARELLA
0BuukWqLTcloP47,CHABICHOU
0Dt2IwOIU5WHcC2,CAMEMBERT
0DwtpnXWfRB3qk6,VACHERIN
0ECkcaSgmnUi9Kk,PARMESAN
0ECmj8nzSs80d1G,CHABICHOU
0EDtAVcdfiyQf9i,CHÈVRE
0EcJ1RUSUAiFMUf,STILTON
0F29IeFrA3YTqp0,CHABICHOU
0FKuZDvttmijYSh,FETA
0GRTrSsGQaYnO58,CHABICHOU
0HMUInIrPJs4oCz,SCARMOZA
0HNhwXvatTq6pMy,MOTHAIS
0HtjqCyvwgqsyvJ,MOTHAIS
0Iv8XnTYd1TyQgW,MOTHAIS
0IyXe87BwFyMjoy,BRIE DE MELUN
0JZbHQdV69C5QO5,MIMOLETTE
0KDY6B4NUafVKVz,ROQUEFORT
0L26rkvdh00hqMx,PARMESAN
0LjeckXemjZpd90,SCARMOZA
0MJ6jaGcXEyAQRl,PARMESAN
0NEn9rzhjVfhAvA,MUNSTER
0OGl2VjveZm72gB,CHABICHOU
0OHdwl5TuQ5gdmJ,PARMESAN
0PsCCXOQnn9tKfl,MOZZARELLA
0Q0WvUU0Mvssm1D,CHABICHOU
0RmsDMlKa2UKoPj,BÛCHETTE DE CHÈVRE
0S1KKu7rN3ROIl8,CAMEMBERT
0SpiSXoqeGwWQnV,MOTHAIS
0TM4bFZ8ifzEilu,FETA
0UI0qSPuSwzQu9R,EMMENTAL
0VJbn7GZoJz91If,EMMENTAL
0VwycdQ7BqXUiGY,SCARMOZA
